architecture,category,n_tasks,n_pass,pass_rate,median_latency_s,median_input_tokens,median_total_tokens,median_peak_context,median_llm_calls,max_steps_hits
baseline,base,50,33,0.66,8.9,44470.0,45122.5,4875.5,11.0,0
baseline,long_context,50,31,0.62,13.91,67301.0,68071.5,8025.0,11.0,0
baseline,miss_func,50,8,0.16,14.2,52979.0,54237.0,5025.5,13.5,0
baseline,miss_param,50,13,0.26,9.61,48169.0,49010.5,5105.0,12.0,1
baseline__run2,base,50,36,0.72,10.8,43669.0,44330.0,4996.0,11.0,0
baseline__run2,long_context,50,30,0.6,16.09,68031.5,68765.0,8079.5,11.0,0
baseline__run2,miss_func,50,6,0.12,14.33,50098.5,50887.5,5089.0,13.0,0
baseline__run2,miss_param,50,16,0.32,10.86,48197.5,48904.5,5179.5,12.0,1
react,base,50,34,0.68,7.72,45974.0,46925.0,5033.0,11.0,0
react,long_context,50,29,0.58,10.64,72548.5,73606.0,8078.0,11.0,0
react,miss_func,50,6,0.12,10.32,50745.5,51663.0,5121.0,12.5,0
react,miss_param,50,17,0.34,5.96,50532.0,51204.0,5146.5,12.0,1
